"","truseq","inlysate","purified_RNA","rand_truseq","rank","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"12604","LUM","GAS5-AS1","LOC441242","IGDCC4",12604,10575,10443,11100,4133
"12605","ERVK13-1","LOC105378083","DUSP28","LINC00312",12605,10576,10445,11101,4134
"12606","TXLNGY","LOC105373883","ZNF718","MIR607",12606,10577,10447,11103,4134
"12607","LINC00664","LOC105370504","PDXDC1","WWOX",12607,10578,10448,11104,4136
"12608","RBP4","BEST4","TMEM238","XAGE2",12608,10579,10448,11105,4136
"12609","COL8A1","LOC105378859","SMAD2","PPM1K",12609,10580,10450,11106,4137
"12610","ERH","GLIDR","NOL8","LOC105378971",12610,10582,10452,11108,4137
"12611","SCARB1","PSMB8","TMEM258","LOC105376277",12611,10584,10453,11109,4138
"12612","NSUN4","IRF9","NCOA4","LINC02749",12612,10586,10455,11110,4138
"12613","TMEM99","LRRTM2","DNLZ","HYAL3",12613,10587,10457,11111,4140
"12614","CCDC186","CNTD2","CCZ1P-OR7E38P","ZNF8-ERVK3-1",12614,10589,10459,11113,4142
"12615","CHROMR","PLCG1-AS1","COG7","MAFIP",12615,10590,10461,11114,4143
"12616","MPC1","SCIMP","ELMOD3","ZNF600",12616,10591,10462,11115,4144
"12617","LOC101927789","NAPRT","IL33","DUSP21",12617,10593,10464,11117,4145
"12618","C2","ATP6V1B1-AS1","SLC12A8","SUN5",12618,10593,10465,11119,4145
"12619","GDF11","B3GALNT2","ARHGAP19","LOC112268225",12619,10595,10467,11120,4146
"12620","STK26","LINC01940","LOC105373074","LOC101927025",12620,10597,10468,11120,4146
"12621","MRGPRF-AS1","LOC105376289","GPC1","CHCHD1",12621,10597,10469,11121,4146
"12622","UQCR10","ZMAT1","NUP214","NDUFAF4",12622,10598,10471,11123,4148
"12623","NARF","GPR37","ARHGEF18","LOC107984469",12623,10600,10473,11124,4148
"12624","RANBP10","LINC00311","WDR55","ZNF432",12624,10601,10475,11125,4150
"12625","DCUN1D2","LOC101927191","TRIP4","LLGL1",12625,10602,10477,11126,4152
"12626","LOC100128108","LOC105372233","CHIC1","MTUS2-AS1",12626,10603,10479,11128,4152
"12627","SMCO2","TMEM256","TRAF5","SMURF1",12627,10604,10481,11129,4153
"12628","STAC3","KCNRG","LINC00941","SEMA3F",12628,10604,10482,11130,4154
"12629","DGCR6L","USP18","LOC101928716","IL36B",12629,10606,10484,11132,4156
"12630","GTF2IP1","GATAD2B","EP300-AS1","LOC105376220",12630,10608,10485,11132,4157
"12631","ZNF777","PCDHB7","ETV7","ARPC3",12631,10610,10486,11133,4159
"12632","UBIAD1","LINC01311","BBOX1-AS1","RB1-DT",12632,10611,10487,11134,4159
"12633","DYRK1B","OXER1","CCT6A","PPIP5K1",12633,10611,10488,11135,4159
"12634","RPTOR","C8orf31","PDCD2","SLC20A2",12634,10612,10490,11136,4160
"12635","ABCB4","LOC100507551","CCNK","LOC101928697",12635,10613,10492,11138,4160
"12636","LIPC","OLMALINC","METTL8","HOXB-AS3",12636,10615,10494,11140,4162
"12637","INIP","RBFADN","GPALPP1","PLOD3",12637,10616,10496,11141,4164
"12638","PRSS12","LOC105376042","NOM1","RNASE8",12638,10617,10497,11142,4164
"12639","DARS2","LOC105375259","ANXA2P3","SPEM3",12639,10618,10498,11144,4164
"12640","ZNF251","LINC02356","MNS1","NEURL3",12640,10618,10499,11145,4164
"12641","CS","GATA3","VAMP1","ZNF761",12641,10619,10501,11147,4165
"12642","MED4","LOC102724497","TUBGCP3","CCDC71",12642,10620,10503,11148,4167
"12643","ZEB1-AS1","HTR2B","SLC4A11","LINC02795",12643,10622,10505,11149,4167
"12644","ASB9","EPHX4","SLC11A1","HOXD10",12644,10623,10506,11150,4167
"12645","NDUFA4L2","LOC105377940","HOXB-AS1","TCP10L",12645,10625,10508,11151,4167
"12646","CTSK","GUSBP4","ATG16L2","RNU105B",12646,10627,10510,11151,4167
"12647","CLCA4-AS1","IZUMO4","SRPK3","LOC105375789",12647,10627,10512,11152,4168
"12648","SSPN","TMEM42","ZNF213-AS1","MIR3909",12648,10628,10514,11152,4169
"12649","ACYP1","CCDC168","IL12A","MIR29C",12649,10629,10516,11152,4169
"12650","P2RX5-TAX1BP3","TMPPE","RAD51-AS1","LRRTM1",12650,10630,10516,11153,4170
"12651","TP53I3","LRRC24","ANKH","LOC105373856",12651,10631,10518,11155,4170
"12652","COA3","NALT1","SYS1","THEG5",12652,10632,10520,11156,4171
"12653","B3GALT6","LINC00653","NKTR","SRI",12653,10633,10521,11157,4173
"12654","ULBP2","SMG1P2","EEF1AKMT1","SLC38A10",12654,10634,10523,11159,4174
"12655","ITGB3BP","LOC105373215","DYRK4","LOC112268340",12655,10635,10524,11160,4174
"12656","CASD1","HCG18","BTBD3","TOM1L1",12656,10637,10526,11162,4175
"12657","ZNF613","SNORD77","KAT2A","ORMDL1",12657,10638,10527,11163,4176
