"","truseq","inlysate","purified_RNA","rank","rand_truseq","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"10607","ABHD12","SNORA31","ABHD12",10607,"DAZ1",9531,10607,9531,2966
"10608","MOB1B","LOC105373193","MOB1B",10608,"LOC105371747",9532,10608,9532,2967
"10609","PTGER2","FAM131C","PTGER2",10609,"LENEP",9534,10609,9534,2967
"10610","DPYSL4","RFXAP","DPYSL4",10610,"KIAA1671-AS1",9536,10610,9536,2968
"10611","MTFR2","LOC105374433","MTFR2",10611,"MIR371B",9536,10611,9536,2969
"10612","COQ8B","SAMD15","COQ8B",10612,"LOC102723862",9536,10612,9536,2970
"10613","GRSF1","SMIM2-AS1","GRSF1",10613,"HAP1",9537,10613,9537,2971
"10614","MXI1","LOC101928957","MXI1",10614,"LOC105372426",9538,10614,9538,2971
"10615","TYSND1","MSL3P1","TYSND1",10615,"LOC105377225",9540,10615,9540,2971
"10616","RAB28","FLJ42351","RAB28",10616,"ZNF236-DT",9541,10616,9541,2971
"10617","RAD54B","CCDC126","RAD54B",10617,"YIPF6",9543,10617,9543,2973
"10618","LOC105379554","LYPD1","LOC105379554",10618,"LOC107986196",9544,10618,9544,2973
"10619","RASA4B","ACOT11","RASA4B",10619,"GPC5",9545,10619,9545,2973
"10620","CLIC4","LOC102723539","CLIC4",10620,"LOC105369797",9546,10620,9546,2973
"10621","SBDS","LOC107985154","SBDS",10621,"AHCYL2",9547,10621,9547,2974
"10622","NECTIN2","LOC101927441","NECTIN2",10622,"LOC105373848",9548,10622,9548,2975
"10623","LRRC75B","RNF112","LRRC75B",10623,"CEP170B",9550,10623,9550,2977
"10624","CCDC136","TTC21A","CCDC136",10624,"LOC107983958",9551,10624,9551,2977
"10625","LOC105373383","WNT2B","LOC105373383",10625,"LOC102723996",9552,10625,9552,2977
"10626","FAM107A","HSD17B6","FAM107A",10626,"PWRN2",9553,10626,9553,2978
"10627","ZNF786","RRN3","ZNF786",10627,"LOC105374230",9553,10627,9553,2978
"10628","ZMIZ1-AS1","LOC101929028","ZMIZ1-AS1",10628,"FOXI3",9553,10628,9553,2979
"10629","APBB1","LINC02610","APBB1",10629,"CMTR2",9554,10629,9554,2979
"10630","TMEM132A","TDRKH","TMEM132A",10630,"TUSC7",9555,10630,9555,2979
"10631","ULK3","HOXA2","ULK3",10631,"RASGRF2-AS1",9556,10631,9556,2979
"10632","TRRAP","JPX","TRRAP",10632,"AXDND1",9558,10632,9558,2979
"10633","NFXL1","GPRASP1","NFXL1",10633,"LOC105373386",9559,10633,9559,2980
"10634","PXYLP1","SNORD8","PXYLP1",10634,"LINC02182",9560,10634,9560,2980
"10635","LGALS8","RNF5","LGALS8",10635,"LOC107987377",9561,10635,9561,2981
"10636","CEP83","YJEFN3","CEP83",10636,"MIR9902-2",9562,10636,9562,2981
"10637","RANBP10","LOC105377940","RANBP10",10637,"MIR4663",9563,10637,9563,2981
"10638","ASXL2","GPR21","ASXL2",10638,"POU2F3",9564,10638,9564,2981
"10639","ZNF583","GCK","ZNF583",10639,"CDH18",9565,10639,9565,2981
"10640","ISOC1","ELOA-AS1","ISOC1",10640,"TARS1",9565,10640,9565,2982
"10641","C5orf63","ITGB4","C5orf63",10641,"LOC554249",9565,10641,9565,2982
"10642","CLU","LSP1P5","CLU",10642,"STX3",9567,10642,9567,2983
"10643","ACIN1","DGCR11","ACIN1",10643,"LOC107986045",9568,10643,9568,2983
"10644","ISCA2","BSN","ISCA2",10644,"LOC105375401",9569,10644,9569,2983
"10645","POLR2C","VANGL2","POLR2C",10645,"SFI1",9570,10645,9570,2984
"10646","MRPL3","FAM133CP","MRPL3",10646,"SNORD42A",9571,10646,9571,2985
"10647","COL5A3","INO80D","COL5A3",10647,"PDE9A-AS1",9572,10647,9572,2986
"10648","MLLT11","LOC107986298","MLLT11",10648,"C1QTNF4",9573,10648,9573,2986
"10649","GALNS","HARBI1","GALNS",10649,"KIAA1656",9575,10649,9575,2986
"10650","POLL","KCND1","POLL",10650,"THUMPD3",9576,10650,9576,2987
"10651","TTLL7","ZNF577","TTLL7",10651,"LOC105377061",9578,10651,9578,2988
"10652","HACL1","VWF","HACL1",10652,"FER1L6-AS2",9579,10652,9579,2988
"10653","SRP9","LUARIS","SRP9",10653,"TTC9",9580,10653,9580,2988
"10654","STARD7","SRGAP2B","STARD7",10654,"DBX2",9582,10654,9582,2988
"10655","TIMM10B","LINC00941","TIMM10B",10655,"CCIN",9584,10655,9584,2989
"10656","ANKMY2","LOC105373430","ANKMY2",10656,"DCTN3",9585,10656,9585,2990
"10657","AMBRA1","COL4A5","AMBRA1",10657,"RYBP",9586,10657,9586,2991
"10658","PIK3CD","PAXIP1-AS1","PIK3CD",10658,"LOC105373137",9588,10658,9588,2991
"10659","FBXL5","DPH1","FBXL5",10659,"LOC105372018",9589,10659,9589,2991
"10660","HERC3","SLC25A45","HERC3",10660,"CCDC149",9591,10660,9591,2993
"10661","EDNRA","LOC105379052","EDNRA",10661,"LCP1",9592,10661,9592,2993
"10662","FIGN","RNF125","FIGN",10662,"HNRNPD",9593,10662,9593,2994
"10663","MID1","PNMA6A","MID1",10663,"SMIM23",9595,10663,9595,2994
"10664","MTMR11","PUS10","MTMR11",10664,"LOC105373902",9596,10664,9596,2994
"10665","GOLM1","GRIN2A","GOLM1",10665,"LOC105369474",9597,10665,9597,2994
"10666","MIR4435-2HG","SYCP2","MIR4435-2HG",10666,"ZC3H4",9598,10666,9598,2995
"10667","RRAS2","LOC105378077","RRAS2",10667,"LRRTM4",9599,10667,9599,2995
"10668","JMJD4","MAP4K3-DT","JMJD4",10668,"LOC107985423",9601,10668,9601,2995
"10669","TM2D3","LOC105374733","TM2D3",10669,"OR51E2",9602,10669,9602,2996
"10670","NDUFAF1","RNF25","NDUFAF1",10670,"EDN3",9604,10670,9604,2996
"10671","POLE3","ASCL1","POLE3",10671,"CCNYL6",9605,10671,9605,2997
"10672","MTSS2","MCRIP1","MTSS2",10672,"RTL8B",9606,10672,9606,2999
"10673","CDK1","ZNF551","CDK1",10673,"SUMO1P3",9608,10673,9608,3000
"10674","METTL6","C1QTNF3","METTL6",10674,"LINC02023",9610,10674,9610,3000
"10675","DAPK2","LOC101927300","DAPK2",10675,"HLA-DRB4",9611,10675,9611,3001
"10676","KNTC1","MGAT4B","KNTC1",10676,"OR4C16",9612,10676,9612,3001
"10677","LOC100505715","TFAP4","LOC100505715",10677,"TREX1",9614,10677,9614,3001
"10678","DRG1","LINC01354","DRG1",10678,"LOC105369705",9615,10678,9615,3001
"10679","VPS13B","BCL2","VPS13B",10679,"MAVS",9617,10679,9617,3003
"10680","SRPRA","CYP39A1","SRPRA",10680,"LOC105376613",9618,10680,9618,3003
"10681","STON1","LINC01590","STON1",10681,"CXorf65",9619,10681,9619,3003
"10682","KCNN4","HAGLR","KCNN4",10682,"RESF1",9620,10682,9620,3003
"10683","ARHGAP12","PTPN3","ARHGAP12",10683,"AARD",9621,10683,9621,3003
"10684","KPTN","WDR83","KPTN",10684,"ANO2",9622,10684,9622,3004
"10685","MDGA1","TRIM61","MDGA1",10685,"MIR3180-5",9623,10685,9623,3004
"10686","SEMA3D","EML2","SEMA3D",10686,"MIR4659B",9625,10686,9625,3004
"10687","OCIAD2","NDUFA3","OCIAD2",10687,"LOC105372532",9627,10687,9627,3004
"10688","NCOA6","NRSN2-AS1","NCOA6",10688,"MIR378G",9628,10688,9628,3004
"10689","GSTM4","TIAM2","GSTM4",10689,"CKMT2",9629,10689,9629,3004
"10690","RBM3","ARHGAP39","RBM3",10690,"LINC01732",9631,10690,9631,3004
"10691","DYNLT3","LOC107986972","DYNLT3",10691,"RAPGEF5",9632,10691,9632,3004
"10692","TTTY15","WASH2P","TTTY15",10692,"ALPG",9633,10692,9633,3004
"10693","BLCAP","LOC105378593","BLCAP",10693,"SS18",9634,10693,9634,3005
"10694","SIN3B","ANO7L1","SIN3B",10694,"MIR28",9635,10694,9635,3005
"10695","MCAM","LRRN3","MCAM",10695,"RGS17",9636,10695,9636,3006
"10696","TIPRL","NBPF9","TIPRL",10696,"NCBP1",9637,10696,9637,3007
"10697","TBC1D14","ASB16-AS1","TBC1D14",10697,"LINC02294",9639,10697,9639,3007
"10698","CRACR2A","PCDHB13","CRACR2A",10698,"LOC101928491",9640,10698,9640,3007
"10699","ALG5","EMB","ALG5",10699,"CHAC1",9642,10699,9642,3009
"10700","DESI2","LOC105378672","DESI2",10700,"RALGPS1",9643,10700,9643,3010
"10701","PREB","EDNRB","PREB",10701,"SZT2",9644,10701,9644,3012
"10702","RNASET2","MCTP1","RNASET2",10702,"MIR4521",9645,10702,9645,3012
"10703","LMBR1","ERO1B","LMBR1",10703,"CRYZL1",9647,10703,9647,3014
"10704","SNORA104","ITGA6-AS1","SNORA104",10704,"LOC105371592",9647,10704,9647,3015
"10705","FNDC1","ENKUR","FNDC1",10705,"MCM3",9648,10705,9648,3016
"10706","STRN3","FAM183A","STRN3",10706,"ZNF85",9649,10706,9649,3016
"10707","PAXIP1","PPP1R14C","PAXIP1",10707,"PGAM1P5",9650,10707,9650,3016
"10708","DNAJC15","MIR924HG","DNAJC15",10708,"LOC107987334",9651,10708,9651,3016
"10709","BIRC5","LINC01160","BIRC5",10709,"LOC105378353",9652,10709,9652,3017
"10710","CEP131","ST3GAL6","CEP131",10710,"LOC102723347",9653,10710,9653,3017
"10711","ABHD8","QTRT1","ABHD8",10711,"LOC107985357",9655,10711,9655,3017
"10712","L1TD1","ATP2B1-AS1","L1TD1",10712,"F9",9656,10712,9656,3017
"10713","ZNF649","LOC101929007","ZNF649",10713,"PASK",9656,10713,9656,3017
"10714","TOLLIP-AS1","LOC100499489","TOLLIP-AS1",10714,"IRGQ",9658,10714,9658,3019
"10715","SENP6","INSC","SENP6",10715,"LOC107984770",9659,10715,9659,3019
"10716","ZNF281","FAM78B","ZNF281",10716,"SNORD116-14",9660,10716,9660,3019
"10717","SH3GLB2","GTF2IP1","SH3GLB2",10717,"LOC105379675",9661,10717,9661,3019
"10718","PRTFDC1","LINC01943","PRTFDC1",10718,"MSH3",9663,10718,9663,3020
